Sampling of sun path

Name: Seville
Latitude: 37.4117 deg
Longitude: -6.0058 deg

Nodes: 30
Resolution: 20.0000 deg

           Index,   Azimuth [deg], Elevation [deg],     Sigma [deg],     Function [],    Amplitude [],  Weight [Wh/m2],      Weight [%]
               1,        120.0474,          0.0000,         40.0000,      101.604385,     1688.247139,       -9403.775,       -0.441379
               2,        133.4744,         12.8483,         40.0000,      310.503101,   -11527.865544,       60251.671,        2.827996
               3,        149.8812,         22.8154,         40.0000,      443.921148,    34517.255454,       38071.777,        1.786952
               4,        169.4682,         28.4159,         40.0000,      459.679960,   -57909.668965,       62849.703,        2.949939
               5,       -169.4682,         28.4159,         40.0000,      455.128619,    62889.818395,       65313.512,        3.065581
               6,       -149.8812,         22.8154,         40.0000,      416.339666,   -45279.066277,       31902.796,        1.497402
               7,       -133.4744,         12.8483,         40.0000,      283.434056,    19982.936709,       59876.746,        2.810399
               8,       -120.0474,          0.0000,         40.0000,      100.761597,    -3974.272030,       -9781.413,       -0.459104
               9,         90.0000,          0.0000,         40.0000,       85.874027,     -775.656747,       19689.829,        0.924170
              10,        102.4689,         15.7633,         40.0000,      307.322513,     6293.980503,       87517.899,        4.107775
              11,        117.0118,         30.7012,         40.0000,      511.975758,   -12163.893414,      108803.029,        5.106822
              12,        136.4594,         43.4622,         40.0000,      602.880847,    -4987.944161,      150202.382,        7.049959
              13,        163.8156,         51.4646,         40.0000,      649.477055,    43637.496487,      147653.029,        6.930301
              14,       -163.8156,         51.4646,         40.0000,      639.045484,   -71736.153252,      145431.325,        6.826023
              15,       -136.4594,         43.4622,         40.0000,      583.916015,    64566.354703,      145888.482,        6.847480
              16,       -117.0118,         30.7012,         40.0000,      525.454612,   -31511.190256,      109539.915,        5.141409
              17,       -102.4689,         15.7633,         40.0000,      337.935906,     4596.138186,       93380.246,        4.382932
              18,        -90.0000,          0.0000,         40.0000,       89.242244,     1060.792056,       20434.650,        0.959129
              19,         59.9526,          0.0000,         40.0000,       76.815611,     -182.967582,          20.428,        0.000959
              20,         71.2840,         14.3742,         40.0000,      308.909764,     3095.078074,       45310.334,        2.126704
              21,         81.9545,         29.7171,         40.0000,      600.431621,   -16945.925343,       73114.754,        3.431743
              22,         93.6427,         45.4701,         40.0000,      713.982159,    34557.053372,       95370.488,        4.476347
              23,        110.1757,         60.9105,         40.0000,      694.910917,   -18748.728817,       88794.840,        4.167710
              24,        145.8063,         73.6280,         40.0000,      745.157021,   -38230.128443,       98300.988,        4.613894
              25,       -145.8063,         73.6280,         40.0000,      742.017468,    96762.476958,       96799.840,        4.543436
              26,       -110.1757,         60.9105,         40.0000,      673.807390,  -109138.982889,       86900.642,        4.078803
              27,        -93.6427,         45.4701,         40.0000,      698.918243,    72409.045239,       93814.796,        4.403329
              28,        -81.9545,         29.7171,         40.0000,      614.842054,   -26091.297237,       76065.192,        3.570226
              29,        -71.2840,         14.3742,         40.0000,      326.773461,     4854.574649,       47879.332,        2.247283
              30,        -59.9526,          0.0000,         40.0000,       85.851837,     -699.886044,         549.258,        0.025780
