<?xml version="1.0" encoding="UTF-8"?>
<SunPath version="2021.4">
<Header>
Name: PROTEAS
Latitude: 34.7070 deg
Longitude: 33.2610 deg

Nodes: 30
Resolution: 20.0000 deg
</Header>
<Data>
           Index,   Azimuth [deg], Elevation [deg],     Sigma [deg],     Function [],  Weight [Wh/m2],      Weight [%]
               1,        118.9335,          0.0000,         40.0000,        0.000000,      -10099.051,       -0.361071
               2,        132.0305,         13.8822,         40.0000,      477.018990,       88733.751,        3.172499
               3,        148.5443,         24.8036,         40.0000,      639.448784,       62323.567,        2.228255
               4,        168.8967,         31.0316,         40.0000,      699.203718,       97285.880,        3.478263
               5,       -168.8967,         31.0316,         40.0000,      699.203718,       97285.690,        3.478257
               6,       -148.5443,         24.8036,         40.0000,      639.448784,       62323.871,        2.228266
               7,       -132.0305,         13.8822,         40.0000,      477.018990,       88733.598,        3.172493
               8,       -118.9335,          0.0000,         40.0000,        0.000000,      -10099.317,       -0.361081
               9,         90.0000,          0.0000,         40.0000,        0.000000,       27650.858,        0.988601
              10,        101.7081,         16.3298,         40.0000,      522.731156,      125127.819,        4.473697
              11,        115.5369,         31.8987,         40.0000,      706.320484,      146660.816,        5.243566
              12,        134.6018,         45.3928,         40.0000,      790.707800,      200401.916,        7.164972
              13,        162.7932,         54.0554,         40.0000,      826.103053,      187030.477,        6.686903
              14,       -162.7932,         54.0554,         40.0000,      826.103053,      187030.647,        6.686909
              15,       -134.6018,         45.3928,         40.0000,      790.707800,      200401.516,        7.164958
              16,       -115.5369,         31.8987,         40.0000,      706.320484,      146660.734,        5.243563
              17,       -101.7081,         16.3298,         40.0000,      522.731156,      125127.629,        4.473690
              18,        -90.0000,          0.0000,         40.0000,        0.000000,       27650.873,        0.988602
              19,         61.0665,          0.0000,         40.0000,        0.000000,          55.845,        0.001997
              20,         71.4271,         14.6954,         40.0000,      493.011518,       62526.825,        2.235522
              21,         81.0357,         30.2799,         40.0000,      692.822322,       84093.080,        3.006581
              22,         91.3937,         46.2839,         40.0000,      794.902373,      114341.074,        4.088038
              23,        105.9749,         62.1473,         40.0000,      849.952275,       95985.251,        3.431762
              24,        140.3517,         75.8766,         40.0000,      874.580242,      116365.629,        4.160422
              25,       -140.3517,         75.8766,         40.0000,      874.580242,      116365.310,        4.160410
              26,       -105.9749,         62.1473,         40.0000,      849.952275,       95985.609,        3.431775
              27,        -91.3937,         46.2839,         40.0000,      794.902373,      114340.902,        4.088032
              28,        -81.0357,         30.2799,         40.0000,      692.822322,       84093.281,        3.006588
              29,        -71.4271,         14.6954,         40.0000,      493.011518,       62526.711,        2.235518
              30,        -61.0665,          0.0000,         40.0000,        0.000000,          56.300,        0.002013
</Data>
</SunPath>
